,x_true,y_true,x_pred,y_pred,x_naive,y_naive,ontrack_error,offtrack_error,ontrack_error_naive,offtrack_error_naive,heading,base_url
273,446743.8217007316,5826089.387473999,446458.9311407251,5826135.312715133,445602.11101857177,5826509.180985434,288.568464933493,5.820766091346741e-11,1200.3142638502695,214.31535729676386,99.54722994005132,gs://gcp-public-data-sentinel-2/tiles/29/U/MU/S2B_MSIL1C_20220712T115409_N0400_R023_T29UMU_20220712T154015.SAFE
274,689944.1470047783,5902112.777771225,690028.6138637821,5902202.396428668,690451.5319909863,5901111.86349298,-123.15094003628398,0.0,-356.82262313498813,-1141.4003011030761,83.7256654429182,gs://gcp-public-data-sentinel-2/tiles/28/U/FE/S2B_MSIL1C_20220712T115409_N0400_R023_T28UFE_20220712T154015.SAFE
275,326602.020069378,4177428.556289104,326863.7304340451,4177984.3457659935,323913.8616175597,4177730.0860668514,614.3242283968922,0.0,-747.9033851066697,-2621.3604070865204,201.67187893193963,gs://gcp-public-data-sentinel-2/tiles/15/S/UB/S2A_MSIL1C_20220713T170901_N0400_R112_T15SUB_20220713T210132.SAFE
276,469475.80846839113,5365002.205824478,469351.39153265883,5364985.106146632,470386.4229877074,5364402.687342757,-125.58651551598173,0.0,851.2217208937146,682.2642794752197,263.735772026581,gs://gcp-public-data-sentinel-2/tiles/30/U/VU/S2A_MSIL1C_20220715T110631_N0400_R137_T30UVU_20220715T144925.SAFE
277,388030.3781865498,4585444.754499309,387949.70883156435,4585415.680137379,388258.5392776305,4584490.911236928,-85.74883879907009,0.0,-67.34136651212914,974.7995421533907,252.24095892711364,gs://gcp-public-data-sentinel-2/tiles/31/T/CF/S2A_MSIL1C_20220716T103641_N0400_R008_T31TCF_20220716T155924.SAFE
278,423725.5135177036,5367795.576263563,423939.7251168095,5367719.670391586,421999.0209326617,5368542.765102658,227.2626467154032,0.0,-1880.950590421235,-49.13867738547752,290.8244445381261,gs://gcp-public-data-sentinel-2/tiles/33/U/VP/S2A_MSIL1C_20220717T100611_N0400_R022_T33UVP_20220717T135129.SAFE
279,786709.9913688239,5750621.694870787,786932.3946568506,5750520.912882121,786129.0104566279,5751038.776552391,244.17254506700712,1.1641532182693481e-10,-698.6486552458217,-163.6179270767302,296.23031820149805,gs://gcp-public-data-sentinel-2/tiles/28/U/GC/S2A_MSIL1C_20220717T115411_N0400_R023_T28UGC_20220717T170944.SAFE
280,802661.0740969315,4673026.865313618,802946.9506803519,4673420.858075584,803750.9781737523,4671587.7911478095,486.7809748024413,0.0,-502.09833939648786,1748.5365845080157,219.1625663180991,gs://gcp-public-data-sentinel-2/tiles/18/T/YM/S2B_MSIL1C_20220718T153559_N0400_R111_T18TYM_20220718T191306.SAFE
281,700233.7550176664,4796446.05289232,700285.0652799367,4796500.104322152,701205.7595489097,4796956.419168888,-74.52717679581079,-1.1641532182693481e-10,374.83343463263606,-957.236422878119,314.76690968319605,gs://gcp-public-data-sentinel-2/tiles/35/T/PH/S2A_MSIL1C_20220723T084611_N0400_R107_T35TPH_20220723T104913.SAFE
282,605431.5296028254,5327268.164108618,605581.0675989746,5327182.825384664,604354.2513008607,5327707.356021473,172.17523079226646,0.0,-1159.5003452987376,-124.40713074297798,288.67653927847067,gs://gcp-public-data-sentinel-2/tiles/31/U/FP/S2B_MSIL1C_20220724T104629_N0400_R051_T31UFP_20220724T113446.SAFE
283,665867.498494389,5046198.126065853,666584.2486710459,5045841.044793578,664818.4021899641,5046154.053495369,800.7732829879675,0.0,-1018.9337640747651,136.48244973747722,297.6623160172113,gs://gcp-public-data-sentinel-2/tiles/34/T/FR/S2A_MSIL1C_20220725T093041_N0400_R136_T34TFR_20220725T113027.SAFE
284,685911.9073739834,5231641.7083503995,686073.6110995492,5231531.141336882,685136.7341881527,5231388.522135995,195.89068211668751,0.0,-445.7804601917301,698.2493464532424,311.11025391825234,gs://gcp-public-data-sentinel-2/tiles/34/T/FT/S2A_MSIL1C_20220725T093041_N0400_R136_T34TFT_20220725T113027.SAFE
285,433095.4536056751,4959362.127188323,432694.4680442455,4959488.630233,434873.29587704723,4958969.906034724,420.4669318598461,1.1641532182693481e-10,-1808.954132036982,264.8922847088892,109.63199986681076,gs://gcp-public-data-sentinel-2/tiles/32/T/MQ/S2B_MSIL1C_20220725T101559_N0400_R065_T32TMQ_20220725T122447.SAFE
