,waypoint,flight_id,formation_time,time,age,longitude,latitude,altitude,level,continuous,segment_length,sin_a,cos_a,width,depth,sigma_yz,air_temperature,specific_humidity,air_pressure,rhi,rho_air,q_sat,n_ice_per_m,iwc,u_wind,v_wind,vertical_velocity,tau_cirrus,air_temperature_lower,u_wind_lower,v_wind_lower,dT_dz,ds_dz,dsn_dz,sdr,top_net_solar_radiation,rsr,top_net_thermal_radiation,olr,area_eff,plume_mass_per_m,r_ice_vol,terminal_fall_speed,diffuse_h,diffuse_v,n_ice_per_vol,tau_contrail,dn_dt_agg,dn_dt_turb,rf_sw,rf_lw,rf_net,persistent,ef,timestep,age_hours,x,y,x_proj,y_proj
723675,672,1,2021-01-30 10:48:37,2021-01-30 10:57:28,0 days 00:08:51,4.310474006794038,49.514207202722076,10043.735673443145,262.59357412150825,True,248.17170825993105,-0.2422475373179803,-0.9702144766304891,334.7002204679929,136.69971228968876,-1238.3450815536955,215.3968,6.9185604e-05,26259.357412150825,2.0007559432374693,0.4247049445654682,3.4579731809729726e-05,8317339700304.437,3.8351902649537797e-05,19.013174,14.749852,-0.23465909,0.4901492,217.02509,18.363365,14.460853,0.0022126834311450238,0.008578565525829394,-0.0014834086398941477,518.5175837557524,,,,,35082.17977917013,14899.57521834824,2.6152074150216958e-06,0.0023003328540449363,16.030603554971968,1.3290160239261342,237081611.0247179,0.9946563426044214,1.1270839101899366e-17,2.6406702402355047e-05,,,,True,,1202,0.1475,594859.4910171542,5485445.456611971,,
723676,673,1,2021-01-30 10:48:38,2021-01-30 10:57:28,0 days 00:08:50,4.307139002967034,49.51366651120735,10043.7666486768,262.59232726147104,True,248.16071977485947,-0.24233936559249847,-0.9701915439150278,333.73338956236313,136.48765309957292,-1227.372587395398,215.39502,6.91897e-05,26259.232726147104,2.0013363890687907,0.42470644294446147,3.4571749494948646e-05,8323033684735.966,3.83674081300237e-05,18.997332,14.758699,-0.23455511,0.48922414,217.02344,18.347708,14.470385,0.002211683617246081,0.00857844969917066,-0.001476044597177235,518.516742020043,,,,,34934.19329810895,14836.776972774096,2.611284220163207e-06,0.0022959950185899598,15.980690530198103,1.3288971562077232,238248916.00363666,0.9980548807171817,1.1263370519228546e-17,2.6476162188946052e-05,,,,True,,1202,0.14722222222222223,594619.1343488808,5485381.1528446665,,
723677,674,1,2021-01-30 10:48:39,2021-01-30 10:57:28,0 days 00:08:49,4.303804262507953,49.513125638706995,10043.797818086307,262.5910725900247,True,248.3310884717486,-0.24254110029527765,-0.9701411313141795,332.60483880060866,136.2754855901273,-1215.6215334977123,215.39323,6.9193826e-05,26259.107259002467,2.0019205192687104,0.42470792871428836,3.456372273523358e-05,8322737707439.33,3.8384482250301796e-05,18.981491,14.767546,-0.23445018,0.48829994,217.02179,18.332052,14.479914,0.0022106838195639967,0.00857835742664512,-0.0014677384504263287,518.5159020927713,,,,,34769.82461175122,14767.020192615944,2.6076029734460724e-06,0.0022919268033643548,15.9308744163969,1.328794044106104,239366686.49822524,1.0012244175169238,1.1264736528827449e-17,2.6559997327327302e-05,,,,True,,1202,0.14694444444444443,594378.79170997,5485316.839959072,,
723678,675,1,2021-01-30 10:48:40,2021-01-30 10:57:28,0 days 00:08:48,4.300467444077412,49.512583944512286,10043.59725064729,262.5991461752624,True,249.72351716054268,-0.2434666669483948,-0.9699092648722557,331.0263391112314,136.6668546453469,-1203.05810407109,215.39326,6.9222566e-05,26259.914617526236,2.002805844017955,0.42472093305316017,3.456279399489009e-05,4708719005738.239,3.750624072608571e-05,18.964914,14.776074,-0.23435028,0.48742643,217.022,18.315641,14.4891205,0.0022093297032699864,0.008563470088282461,-0.0014505681445599044,518.515069117411,,,,,34718.30355291974,14745.590279018916,3.127051207868802e-06,0.0028814043606852193,15.994703131416959,1.3604645878799386,135626413.84712029,0.8040637403069717,2.039649574781659e-17,2.6964461522169543e-05,,,,True,,1202,0.14666666666666667,594138.2948479374,5485252.443798523,,
723679,676,1,2021-01-30 10:48:41,2021-01-30 10:57:28,0 days 00:08:47,4.2971128590418175,49.51203715107806,10041.621131702454,262.6787030578285,True,248.63149100267455,-0.24289705545801768,-0.9700520709991937,336.1778744740545,141.61907183423787,-1237.6258702494292,215.40727,6.943958e-05,26267.87030578285,2.00596626046036,0.4248219613852162,3.461652365699269e-05,725700269661.0419,3.709304995664105e-05,18.942688,14.782199,-0.23429507,0.48693168,217.03651,18.293446,14.495868,0.0022054784599936286,0.008440392117065598,-0.0014280720725906705,518.5142771894671,,,,,36574.65124814341,15537.71508021653,5.913185311932576e-06,0.008472487470347848,16.92801794054662,1.6712893915774014,19841618.303821273,0.44515500716142015,2.0356990791936148e-16,2.9098315685791955e-05,,,,True,,1202,0.1463888888888889,593896.5162829568,5485187.469288323,,
723680,677,1,2021-01-30 10:48:42,2021-01-30 10:57:28,0 days 00:08:46,4.293772385723997,49.511494005749185,10041.379849152774,262.6884182266609,True,248.6195823924626,-0.24298504692405448,-0.9700300340563249,336.18808545543646,141.78067952307006,-1233.9168563916257,215.40764,6.9472786e-05,26268.841822666087,2.006902038689637,0.42483694877080663,3.4616929297788287e-05,725371120949.7515,3.7130275468076476e-05,18.92597,14.790688,-0.2341937,0.48606318,217.03706,18.27689,14.505035,0.0022041205657208707,0.008431573381172883,-0.0014193119795473136,518.5134557712704,,,,,36624.37712980399,15559.388630457239,5.918806805980644e-06,0.008486203644592068,16.948947368761264,1.673016518783256,19805691.667571403,0.44614678539491254,2.0400996941094957e-16,2.9093016351490753e-05,,,,True,,1202,0.1461111111111111,593655.7467927079,5485122.928684277,,
723681,678,1,2021-01-30 10:48:43,2021-01-30 10:57:28,0 days 00:08:45,4.290432185391182,49.51095068970921,10041.138240957716,262.6981467990447,True,248.60770609785988,-0.24307289924238595,-0.9700080234997548,336.1988000768339,141.94307542934112,-1230.2323767598712,215.40799,6.950609e-05,26269.81467990447,2.0078456323912914,0.42485201146181784,3.4617246922576675e-05,725067684650.0808,3.716795290228848e-05,18.909252,14.799175,-0.23409127,0.48519483,217.03761,18.260332,14.514203,0.0022026521966611767,0.008422767660402277,-0.00141054239644251,518.5126359614175,,,,,36674.31334701449,15581.155794460099,5.9243940787963e-06,0.008499845862441348,16.970054706662154,1.6747741847965238,19770450.172834817,0.4471181168029324,2.0444514278163864e-16,2.9088038665508068e-05,,,,True,,1202,0.14583333333333334,593414.9919733629,5485058.380148012,,
723682,679,1,2021-01-30 10:48:44,2021-01-30 10:57:28,0 days 00:08:44,4.287092257504298,49.51040720321548,10040.89723290715,262.7078514967241,True,247.22519577428196,-0.24233614738291412,-0.970192347770073,337.4734990942029,142.10327379759562,-1233.215059578322,215.40836,6.953938e-05,26270.78514967241,2.0087830245018545,0.4248669818123371,3.461766749955167e-05,728827286505.3313,3.720152125896497e-05,18.89254,14.807663,-0.23398776,0.48432645,217.03815,18.24378,14.523371,0.002201405617627472,0.008414029879690327,-0.0014088423102427453,518.5118177526999,,,,,36858.97960726057,15660.16341841928,5.925952147348877e-06,0.008503606925707115,16.990736969824763,1.6758915339264684,19773398.34881824,0.4480613091196125,2.0361792568847968e-16,2.896754572636021e-05,,,,True,,1202,0.14555555555555555,593174.2517837554,5484993.823704917,,
723683,680,1,2021-01-30 10:48:45,2021-01-30 10:57:28,0 days 00:08:43,4.283770384205582,49.509868389591134,10042.583958120802,262.63993804039364,True,240.36383039911803,-0.24018598046398332,-0.9707268899070196,332.04645750761335,137.1445642969975,-1211.2172721233744,215.39354,6.936825e-05,26263.993804039364,2.007258127435779,0.4247863719912989,3.4558710386929427e-05,5100436735040.977,3.77475416748622e-05,18.88195,14.818739,-0.23383477,0.48305854,217.02315,18.233496,14.535189,0.0022028913787690385,0.008526110410848836,-0.001439615027348669,518.5109626739692,,,,,34946.70427187409,14844.88372070222,3.0582058951285395e-06,0.0028016245079735737,16.036446898420557,1.3585329702251197,145949005.53028473,0.7948009345705248,1.88441696281187e-17,2.680954803598643e-05,,,,True,,1202,0.14527777777777778,592934.8042984351,5484929.81972696,,
723684,681,1,2021-01-30 10:48:46,2021-01-30 10:57:28,0 days 00:08:42,4.280538884291218,49.50934916671984,10042.519834920562,262.64251960472416,True,240.35244327245374,-0.2402746797588786,-0.9707049388288742,331.42874348662184,137.06178525716254,-1203.2445750692154,215.39253,6.9382535e-05,26264.251960472415,2.0079573768705834,0.4247925333363915,3.455378874166801e-05,5102933811173.72,3.777301593559565e-05,18.866293,14.827155,-0.23372898,0.48218986,217.0223,18.218006,14.54427,0.0022017719831808336,0.008523090354357568,-0.0014319024492405535,518.510019435448,,,,,34867.45043101689,14811.432599572721,3.0560956972468167e-06,0.002799189555133223,16.01142041613814,1.3586479869516834,146352364.3998451,0.794488868755539,1.884455452084634e-17,2.685209266689777e-05,,,,True,,1202,0.145,592701.8566665809,5484868.115470779,,
723685,682,1,2021-01-30 10:48:47,2021-01-30 10:57:28,0 days 00:08:41,4.277307644844825,49.50882977673111,10042.455835538738,262.64509620468175,True,240.1948650718613,-0.24027234787199545,-0.97070551602846,330.94598400290846,136.9787881932311,-1196.0346986142383,215.39154,6.939686e-05,26264.509620468176,2.008657913588559,0.42479863303293663,3.4548870115579646e-05,5108560865389.81,3.779811732624407e-05,18.850637,14.83557,-0.23362224,0.48132175,217.02144,18.20252,14.5533495,0.0022007630840957405,0.008520059944100732,-0.001424981059426914,518.5090778876583,,,,,34802.00966565933,14783.846132771132,3.053751513138052e-06,0.0027964844137962045,15.986349003728572,1.3587169364294187,146789249.08266577,0.7941020779822954,1.8832818887088855e-17,2.688272120790475e-05,,,,True,,1202,0.14472222222222222,592468.9231979824,5484806.402976323,,
723686,683,1,2021-01-30 10:48:48,2021-01-30 10:57:28,0 days 00:08:40,4.274078556526746,49.50831073238392,10042.58395538986,262.63993815033945,True,240.08661678732818,-0.24031050415046304,-0.9706960706600961,329.830157537001,136.39323593546445,-1184.7065350049204,215.38904,6.9390844e-05,26263.993815033944,2.009109044777434,0.42479522869534087,3.453811744396502e-05,8317111985519.957,3.868358380931157e-05,18.835594,14.844239,-0.23350985,0.48041528,217.01904,18.187658,14.562691,0.0021999948340268817,0.00852929606360901,-0.0014197182361318742,518.5081339944151,,,,,34539.38343690399,14672.165286075699,2.6093368022747445e-06,0.002293788912062568,15.867147391082046,1.3319881229971808,240800823.81069505,1.0090539296050034,1.1364203637215519e-17,2.6731914144307332e-05,,,,True,,1202,0.14444444444444443,592236.1397965717,5484744.741560065,,
723687,684,1,2021-01-30 10:48:49,2021-01-30 10:57:28,0 days 00:08:39,4.2708509886398645,49.50779183951987,10042.576817241163,262.6402255272145,True,248.8282698175014,-0.25371760089380846,-0.9672783358458362,327.3112841354364,136.40291628269102,-1065.4596872757102,215.38759,6.939921e-05,26264.02255272145,2.0097406981125334,0.42479856524418225,3.453142565241806e-05,5893195903696.366,3.800372904889217e-05,18.820133,14.852717,-0.23340002,0.47953802,217.01773,18.17237,14.571837,0.002198992241453084,0.008523919925253021,-0.0012959093695138226,518.5071896154727,,,,,34420.08072605308,14621.600908016278,2.9062799015325434e-06,0.002627433395034174,15.859397063111443,1.3503093550568002,171213889.66516042,0.7822734425665235,1.6204460173454084e-17,2.7013954715733266e-05,,,,True,,1202,0.14416666666666667,592003.4611784334,5484683.108847039,,
