,waypoint,flight_id,formation_time,time,age,longitude,latitude,altitude,level,continuous,segment_length,sin_a,cos_a,width,depth,sigma_yz,air_temperature,specific_humidity,air_pressure,rhi,rho_air,q_sat,n_ice_per_m,iwc,u_wind,v_wind,vertical_velocity,tau_cirrus,air_temperature_lower,u_wind_lower,v_wind_lower,dT_dz,ds_dz,dsn_dz,sdr,top_net_solar_radiation,rsr,top_net_thermal_radiation,olr,area_eff,plume_mass_per_m,r_ice_vol,terminal_fall_speed,diffuse_h,diffuse_v,n_ice_per_vol,tau_contrail,dn_dt_agg,dn_dt_turb,rf_sw,rf_lw,rf_net,persistent,ef,timestep,age_hours,x,y,x_proj,y_proj
558317,1092,1,2019-03-20 01:56:45,2019-03-20 01:58:36,0 days 00:01:51,132.19648050227556,32.32227447243961,10925.937680184981,228.9726696505421,True,238.56295342510052,-0.3165179017400536,-0.948586536842092,208.81358216983494,87.83855683306956,796.5515473757881,222.62283,0.00011957873,22897.26696505421,1.19390194798775,0.3583079142817807,0.00010015791814071649,4633717075621.203,2.0836713218900932e-05,57.282707,-4.386068,-0.10067901,0.18313588,223.90005,55.315674,-4.4521446,0.004969386797603193,0.02839878720767585,0.008079239770812036,1084.0319680983093,969.4266,114.60539339127808,-266.4548,266.4548,13508.324610882784,4840.139616766657,1.7827887376202765e-06,0.0014356999800996632,21.911402525397513,0.8824479632579958,343026778.60495865,0.3950005922736474,8.489885427439571e-18,7.133838053159412e-05,-38.13285,13.356782,-24.77607,True,-1234982.1420180537,1202,0.030833333333333334,800931.170816188,3580649.447876883,799352.2438136917,3581151.2332353243
558318,1093,1,2019-03-20 01:56:46,2019-03-20 01:58:36,0 days 00:01:50,132.19407230738432,32.32159540123899,10925.989621051433,228.97079840024435,True,238.57089393779611,-0.3165680684940256,-0.9485697960666689,207.49535314594047,87.6306619626816,787.5071479906982,222.62354,0.00011958573,22897.079840024435,1.193857321860882,0.35830386905217476,0.00010016752492619799,4640944098660.051,2.084997243149365e-05,57.28459,-4.3786097,-0.10103354,0.1830813,223.90071,55.317875,-4.443998,0.004969746712900758,0.028421716413367947,0.008096585154893919,1084.0234047650833,969.3528,114.67062156195834,-266.37387,266.37387,13396.257629628875,4799.930939515742,1.7772917730253593e-06,0.0014301247284201806,21.825413803961638,0.882147329528966,346435864.9236146,0.39812775332521605,8.475156878231094e-18,7.185640218958774e-05,-38.434364,13.415803,-25.018562,True,-1239242.0856024248,1202,0.030555555555555555,800706.5986213136,3580567.353230296,799124.4501272397,3581070.193340868
558319,1094,1,2019-03-20 01:56:47,2019-03-20 01:58:36,0 days 00:01:49,132.1916640929038,32.320916199807364,10926.043089314371,228.96887213605302,True,239.3849580782945,-0.31565409006383277,-0.9488743306813467,205.76523111758874,87.4176749038438,775.8230822170328,222.62424,0.00011959243,22896.887213605303,1.1938119709434794,0.3582997158581928,0.0001001769372712137,4780218082557.939,2.0866720396206284e-05,57.28649,-4.3711543,-0.10138917,0.18302862,223.90135,55.320095,-4.4358535,0.004970221809413715,0.02844537193356052,0.008086450369940323,1084.0148405492075,969.2793,114.73554367420752,-266.2929,266.2929,13259.72424723036,4750.955430140628,1.754324112128565e-06,0.001406878025972184,21.737526225616175,0.881274375198693,360506598.2843808,0.41349311013470685,8.206944164593219e-18,7.256320585956631e-05,-39.936428,13.753978,-26.18245,True,-1290454.7539529786,1202,0.03027777777777778,800482.0217980975,3580485.249361014,798896.6510827534,3580989.1444307775
558320,1095,1,2019-03-20 01:56:48,2019-03-20 01:58:36,0 days 00:01:48,132.18924691428163,32.32023665133192,10925.32080198057,228.99489459179327,True,239.34542064081643,-0.3157585165511572,-0.9488395856125589,204.4847439288785,87.21520352335479,767.135831748686,222.63002,0.00011968841,22899.489459179327,1.1940479123998884,0.3583311278348337,0.00010023752825723412,4640282253881.696,2.091758773768025e-05,57.28058,-4.3639264,-0.101702735,0.18307757,223.9072,55.31431,-4.4279413,0.004969602594741786,0.02847051923528312,0.008106033916388148,1084.006215627528,969.206,114.80022197518429,-266.2116,266.2116,13151.470372230811,4712.581211167866,1.7684360839542527e-06,0.00142110903589339,21.65607689872917,0.8816928246662856,352833722.96375334,0.40393089890128236,8.493206536968724e-18,7.310669080670412e-05,-38.992523,13.529268,-25.463255,True,-1247027.0192745014,1202,0.03,800256.598588052,3580403.0871212482,798668.1071689493,3580908.0052202307
558321,1096,1,2019-03-20 01:56:49,2019-03-20 01:58:36,0 days 00:01:47,132.18683024054354,32.31955699005678,10924.631403062243,229.0197343824592,True,243.9006446779438,-0.32115778003743434,-0.947025702038454,203.8588150468631,86.95065265203505,771.6010509891336,222.63559,0.000119780576,22901.97343824592,1.1942714616260721,0.35836103806157443,0.00010029593753474244,4665989080288.864,2.0964767723317777e-05,57.274998,-4.3566875,-0.10201879,0.1831252,223.91283,55.308865,-4.4200177,0.004968990845028145,0.028504013723101608,0.008280498929733711,1083.9975932582784,969.13306,114.86453661765336,-266.13028,266.13028,13050.267984765083,4676.707582002146,1.762014735134536e-06,0.001414569064225681,21.55022013198666,0.8813200184185368,357539713.8002033,0.4074095811482977,8.457921650301539e-18,7.336095754698357e-05,-39.32875,13.590593,-25.738157,True,-1280517.6629579582,1202,0.029722222222222223,800031.2200775777,3580320.919101511,798439.6039385339,3580826.861641508
558322,1097,1,2019-03-20 01:56:50,2019-03-20 01:58:36,0 days 00:01:46,132.1843722895129,32.31885254766574,10924.697916132336,229.01733774932072,True,243.91555029576892,-0.3211995534222565,-0.9470115347139881,202.47898144842986,86.7149075176258,762.110203282067,222.63623,0.000119786244,22901.733774932072,1.1942199055486997,0.3583562584179052,0.00010030501361532592,4674710822594.175,2.0978212947171047e-05,57.27707,-4.34909,-0.102385074,0.18307443,223.91342,55.31127,-4.4117117,0.004969353512697978,0.028530854206217995,0.008299181096560927,1083.9889811597154,969.05927,114.92971602299667,-266.04742,266.04742,12931.89755029032,4634.226420365713,1.75594542673431e-06,0.0014084334121280942,21.453705023305975,0.8809910997381769,361486843.24283314,0.4109363041198623,8.439873788161337e-18,7.392666713528867e-05,-39.669273,13.65583,-26.013443,True,-1285522.225419134,1202,0.029444444444444443,799802.0322042397,3580235.8919823864,798207.1293892147,3580742.9116539736
558323,1098,1,2019-03-20 01:56:51,2019-03-20 01:58:36,0 days 00:01:45,132.18191424413033,32.318147970583986,10924.751003235115,229.01542490211233,True,245.2656036278867,-0.3196523389883154,-0.9475348976049902,200.48574143028665,86.51836209548453,748.7976309192612,222.63696,0.00011979332,22901.54249021123,1.1941739204598332,0.35835208248132294,0.00010031480451891468,3247332897387.7456,1.9530612442296446e-05,57.279007,-4.3415,-0.10275167,0.18302761,223.9141,55.313538,-4.4034133,0.004969828737486352,0.02855257378472812,0.008270559360020469,1083.9803676034091,968.9858,114.9945887948154,-265.9645,265.9645,12785.080139471078,4581.560092670064,1.9286266520438426e-06,0.001585131200137689,21.372820614766123,0.8865190143126012,253993941.5289491,0.29835342528661946,1.1590387274409455e-17,7.497303246162309e-05,-28.649208,10.839144,-17.810064,True,-875300.4682564933,1202,0.029166666666666667,799572.832480194,3580150.8551591155,797974.6444504332,3580658.951576073
558324,1099,1,2019-03-20 01:56:52,2019-03-20 01:58:36,0 days 00:01:44,132.17944128037198,32.317442915700006,10923.474986230147,229.06140623444418,True,245.40917291476254,-0.3195399293451512,-0.9475728117427684,199.04102277349952,86.26939748502033,739.0826858907938,222.64641,0.00011995381,22906.14062344442,1.1946126513935325,0.35840882831669235,0.00010041230439815147,3493531612408.211,1.9417246886014637e-05,57.26756,-4.33428,-0.103044294,0.1831564,223.92369,55.302094,-4.395493,0.0049683949182986,0.028586284450120375,0.00828681734580683,1083.9716531940435,968.91235,115.05929967841848,-265.88104,265.88104,12661.456283725367,4537.977711433031,1.8725889783108337e-06,0.0015272398214261347,21.275081902237876,0.8846666659410004,275918625.32422006,0.31527693200139184,1.0630369612837031e-17,7.556383958116141e-05,-30.306381,11.153553,-19.152828,True,-935751.9466440941,1202,0.028888888888888888,799342.225744662,3580065.7291076425,797740.9315820292,3580574.8454066166
558325,1100,1,2019-03-20 01:56:53,2019-03-20 01:58:36,0 days 00:01:43,132.1769668059552,32.31673770091528,10921.912521646456,229.11771989949676,True,243.30135859143792,-0.3107791324116624,-0.950482157043179,198.1013824105048,86.79652131168,713.5684431022457,222.65771,0.000120147466,22911.771989949677,1.195156762217947,0.35847873389638646,0.00010052862509391833,309869470617.4817,1.7980599343242544e-05,57.25323,-4.3271384,-0.10332089,0.1833263,223.93523,55.287693,-4.387652,0.004966320244873543,0.02851503380610962,0.008023648032541734,1083.9629277104457,968.83923,115.12369431200818,-265.7975,265.7975,12738.559914905842,4566.502829958707,4.101257648137427e-06,0.004583390707150491,21.48218884111596,0.983620944664034,24325314.06119874,0.15654841244421816,1.5210395686453413e-16,7.852806830804468e-05,-14.588514,10.049875,-4.538639,True,-218328.6727691102,1202,0.02861111111111111,799111.473813955,3579980.5866636196,797507.117517479,3580490.709168044
558326,1101,1,2019-03-20 01:56:54,2019-03-20 01:58:36,0 days 00:01:42,132.1745060221075,32.316057697823496,10921.702366106074,229.12529508879314,True,243.3062749523664,-0.3108325035615947,-0.9504647046206561,197.65040830955542,87.05819084093598,711.7099540331659,222.66016,0.000120183635,22912.529508879314,1.1951951914095649,0.35848666422728087,0.00010055565461322654,308057738000.6504,1.7982050769821878e-05,57.252506,-4.3195934,-0.103675365,0.18332842,223.93764,55.287235,-4.3794093,0.004966507240429792,0.02847536587272045,0.008023596086850838,1083.9539893395788,968.767,115.18696053098506,-265.7145,265.7145,12753.131169895621,4571.827451548841,4.110989123822924e-06,0.0046019558836424635,21.5818459667744,0.984709965137722,24155459.07093275,0.1571787585939557,1.5327034668221828e-16,7.889714482315834e-05,-14.644169,10.097299,-4.54687,True,-218257.54723053178,1202,0.028333333333333332,798881.9250798849,3579898.2845440786,797274.3146315344,3580409.473309932
558327,1102,1,2019-03-20 01:56:55,2019-03-20 01:58:36,0 days 00:01:41,132.1720452522091,32.315377564217684,10921.490889549656,229.132918099665,True,245.19978553296554,-0.3087121513059602,-0.9511555118044819,196.31171014802726,87.32296018009218,704.3390525616667,222.66258,0.00012021986,22913.2918099665,1.1952346966361322,0.3584946692049031,0.00010058264054254543,303886423174.2722,1.797793467581402e-05,57.25177,-4.312051,-0.10403069,0.18333313,223.94006,55.286766,-4.371169,0.004966461536646705,0.028435455863340963,0.007961058186451585,1083.9450502320733,968.6952,115.2498598023858,-265.63147,265.63147,12715.593738578,4558.472571055457,4.12537374734388e-06,0.004629478502709672,21.682886381159687,0.986178204808011,23898720.69066719,0.15779396178835084,1.5572627262680387e-16,7.976900497804447e-05,-14.697676,10.151036,-4.5466394,True,-218505.1058220451,1202,0.028055555555555556,798652.3748052984,3579815.9734924533,797041.5102543703,3580328.2286356543
558328,1103,1,2019-03-20 01:56:56,2019-03-20 01:58:36,0 days 00:01:40,132.1695636435951,32.314696839079396,10919.32592224734,229.21096962374682,True,245.12357966909263,-0.3088512793265482,-0.9511103444176991,195.92185055681543,87.59625110072862,702.83707708147,222.67783,0.000120482226,22921.096962374682,1.1959881193558783,0.3585922407103349,0.0001007386475345827,301624142082.2626,1.807627140170449e-05,57.231365,-4.3050246,-0.104274675,0.18359934,223.95561,55.26614,-4.363456,0.004963677987923063,0.02840163673316314,0.007965193619166994,1083.9359702348638,968.6233,115.31267921923882,-265.5477,265.5477,12735.08530626283,4566.70277561005,4.1456807189679525e-06,0.004668106000614283,21.79286898984969,0.988184594278026,23684501.1107959,0.15916135640584023,1.5833262567188304e-16,8.016226933912661e-05,-14.820937,10.258095,-4.5628424,True,-218847.92926427652,1202,0.027777777777777776,798420.860317982,3579733.544226757,796807.0048841875,3580246.782157201
558329,1104,1,2019-03-20 01:56:57,2019-03-20 01:58:36,0 days 00:01:39,132.16708292873227,32.31401601500497,10917.323962768505,229.283163537557,True,235.34073166618919,-0.32178381726128474,-0.9468131679210826,196.52584317349954,87.32611001896215,730.4003519215162,222.692,0.00012072589,22928.316353755697,1.1966783612777392,0.35868236701019074,0.00010088415907092863,3190406489809.535,1.9905162279531603e-05,57.2126,-4.297941,-0.104528226,0.18384847,223.97006,55.2472,-4.3556833,0.004961162178348957,0.02844017751748336,0.0083568705749619,1083.9268952308114,968.5517,115.37519845346765,-265.46393,265.46393,12673.553410826591,4545.780135825358,1.947257542419055e-06,0.0016039594001377626,21.688051324689816,0.8883882536146441,251737329.412608,0.30301274194801087,1.2060952879414817e-17,7.751623335003975e-05,-29.070993,11.033153,-18.037842,True,-833547.0367550805,1202,0.0275,798189.4270286926,3579651.112074766,796572.5584691782,3580165.339921779
558330,1105,1,2019-03-20 01:56:58,2019-03-20 01:58:36,0 days 00:01:38,132.1647119507315,32.31333498081999,10916.093396998034,229.3275488765312,True,235.32462156544537,-0.32185963063450923,-0.9467873986105948,195.14575315732984,87.0855831651836,720.9828618691724,222.7011,0.00012088104,22932.754887653122,1.197098372618777,0.358737136226975,0.00010097837023335574,3197759161252.3896,1.9975527599556977e-05,57.201576,-4.2909913,-0.10481104,0.1839927,223.97932,55.236176,-4.3480573,0.00495962275109946,0.028472356143898984,0.00837785932004627,1083.9185875193969,968.4835,115.43506701158435,-265.3836,265.3836,12555.094294459102,4503.978572253892,1.9420643939354843e-06,0.0015984907651209555,21.59314674567934,0.8882150352399141,254698139.75540158,0.3046525581590092,1.2068610308640243e-17,7.816026741887949e-05,-29.22786,11.05843,-18.16943,True,-833740.5551157154,1202,0.02722222222222222,797968.3277465713,3579568.967714795,796348.4892951063,3580084.171887845
558331,1106,1,2019-03-20 01:56:59,2019-03-20 01:58:36,0 days 00:01:37,132.16234121741252,32.31265383282768,10914.862428233693,229.37195571175164,True,235.30830393896215,-0.32193575466885976,-0.9467615168910234,193.76613080546832,86.8452892373133,711.6093391181561,222.7102,0.0001210363,22937.195571175165,1.1975147194798303,0.358791934591267,0.00010107290966092926,3205130247937.047,2.0045775504715785e-05,57.190548,-4.2840366,-0.105094254,0.1841404,223.98859,55.225155,-4.3404264,0.004958200065360927,0.028504529246552605,0.008398877440525613,1083.9102806340943,968.41583,115.49444811456306,-265.3032,265.3032,12437.142507124543,4462.346420918496,1.9368419028224304e-06,0.0015929959979941062,21.49841315370405,0.8880322801121068,257706321.69736797,0.3063724184623367,1.2075977036464644e-17,7.881467492807726e-05,-29.392515,11.085998,-18.306519,True,-834101.951070777,1202,0.026944444444444444,797747.2487063904,3579486.816528437,796124.441178793,3580002.9968876806
558332,1107,1,2019-03-20 01:57:00,2019-03-20 01:58:36,0 days 00:01:36,132.15997073112345,32.311972570989376,10913.631326716957,229.41637429971698,True,235.04630810661607,-0.32232002158669054,-0.9466307641759565,192.50371230605555,86.60471329867721,703.0061047251558,222.71931,0.0001211916,22941.6374299717,1.1979303019236818,0.3588467249332694,0.00010116749044604568,3215877082317.6523,2.011590663258588e-05,57.17952,-4.277077,-0.10537786,0.18429154,223.99785,55.214134,-4.3327904,0.0049567766181360185,0.028536880758615917,0.008428853661838523,1083.9019745922617,968.34845,115.55352488523044,-265.22278,265.22278,12326.413611137075,4423.293154529414,1.9312684671033305e-06,0.0015871419793452336,21.403734598832944,0.8878360847418778,260893166.80174235,0.30824364866526327,1.2069914710366309e-17,7.941186298751229e-05,-29.571968,11.116832,-18.455135,True,-834533.1149312619,1202,0.02666666666666667,797526.1901290072,3579404.6585162175,795900.4142306008,3579921.8148095077
558333,1108,1,2019-03-20 01:57:01,2019-03-20 01:58:36,0 days 00:01:35,132.1576032164353,32.31129125186574,10912.668807095499,229.45110720717315,True,248.8615144639968,-0.3043340731668111,-0.9525653635891335,188.7533864806522,85.87596330028428,645.0528361189996,222.72667,0.000121315745,22945.110720717315,1.1982440696211825,0.3588892118997096,0.00010124460269772844,3239863192293.738,2.018341122818465e-05,57.1712,-4.270046,-0.10567764,0.18440974,224.00531,55.205887,-4.325081,0.004955759488926503,0.028635560963320494,0.007947817063522789,1083.8936877627623,968.28156,115.61213258698103,-265.14236,265.14236,12068.429346127621,4331.22909689907,1.915168702802963e-06,0.0015704262913117794,21.11781294438292,0.8873082845699841,268457733.7591414,0.31366201073450006,1.1995565786172008e-17,8.09784819297677e-05,-30.098806,11.220685,-18.87812,True,-886458.2647123117,1202,0.02638888888888889,797305.4084741651,3579322.507518054,795676.6282059315,3579840.6513629407
558334,1109,1,2019-03-20 01:57:02,2019-03-20 01:58:36,0 days 00:01:34,132.155080874367,32.31061014356016,10911.201160738665,229.5040760119968,True,248.84055653411392,-0.3044137544049732,-0.9525399026440144,187.40992262233564,85.63957537873395,636.5769931225179,222.73734,0.000121497425,22950.40760119968,1.1987297571198838,0.3589548671335293,0.00010135514256127806,3247106852894.751,2.0264301077860608e-05,57.157852,-4.2626286,-0.105971195,0.18460913,224.01619,55.192505,-4.3169613,0.004953822747501704,0.02866849019671656,0.007969102104870186,1083.8843131591204,968.21075,115.67355876458919,-265.05704,265.05704,11954.016299334002,4290.95233243948,1.9103382203080476e-06,0.001565343280749991,21.025863098907024,0.8871827403034883,271633129.1162501,0.31581264192594316,1.2010363144016213e-17,8.167013135408234e-05,-30.304976,11.26224,-19.042736,True,-887811.1086706064,1202,0.026111111111111113,797070.0386550972,3579239.9552879347,795438.1070143259,3579759.1338003674
